#Input file

699 atoms
5 atom types

-10.0 10.0 xlo xhi
-10.0 10.0 ylo yhi
-10.0 10.0 zlo zhi

Masses

1 1.0080
2 15.9994
3 63.546
4 35.453
5 1.0

Atoms

1 2 0.0 -6.33516000 -9.07720000 -7.00192000 
2 1 0.0 -6.88032000 -8.36758000 -7.47325000 
3 1 0.0 -5.53805000 -8.59367000 -6.70188000 
4 1 0.0 -4.78531000 -5.63181000 -9.14535000 
5 1 0.0 -7.23803000 -8.98686000 -5.58028000 
6 1 0.0 -3.27099000 -5.38731000 -9.21078000 
7 1 0.0 -4.19408000 -6.64551000 -7.00564000 
8 1 0.0 -3.35084000 -7.03726000 -5.78742000 
9 2 0.0 -4.16892000 -7.27876000 -6.26367000 
10 2 0.0 -7.54177000 -6.90727000 -8.11859000 
11 1 0.0 -6.78570000 -6.54441000 -8.60353000 
12 1 0.0 -8.09793000 -7.23535000 -8.84147000 
13 2 0.0 -4.01775000 -5.43178000 -8.57534000 
14 1 0.0 -5.30662000 -6.86086000 -5.01116000 
15 2 0.0 -5.93535000 -6.69137000 -4.25268000 
16 1 0.0 -5.41105000 -6.80854000 -3.40571000 
17 2 0.0 -7.63990000 -8.69733000 -4.69568000 
18 1 0.0 -7.07112000 -7.91147000 -4.38473000 
19 2 0.0 -1.93795000 -6.33873000 -4.70574000 
20 1 0.0 -1.08277000 -5.89214000 -5.01381000 
21 1 0.0 -2.24043000 -5.81856000 -3.93166000 
22 2 0.0 -1.15174000 -8.72733000 -3.72519000 
23 1 0.0 -1.35969000 -9.39370000 -4.46364000 
24 1 0.0 -1.43879000 -7.82067000 -4.07889000 
25 2 0.0 -6.30796000 -5.72459000 -0.28808700 
26 1 0.0 -5.68633000 -6.33907000 -0.75923000 
27 1 0.0 -1.81211000 -5.30076000 -1.89242000 
28 2 0.0 -4.47593000 -6.92949000 -1.95392000 
29 1 0.0 -3.78054000 -6.19404000 -2.06470000 
30 1 0.0 -3.97302000 -7.80738000 -1.91809000 
31 1 0.0 -6.59692000 -5.09392000 -0.98441700 
32 1 0.0 -9.74870000 -8.03975000 -0.98851800 
33 2 0.0 -7.33223000 -9.70065000 -0.48226200 
34 2 0.0 -3.16135000 -9.28762000 -2.04798000 
35 1 0.0 -2.39172000 -9.06917000 -2.69563000 
36 1 0.0 -2.71727000 -9.65789000 -1.22063000 
37 2 0.0 -0.40535700 -5.85843000 -1.26036000 
38 1 0.0 -0.73447800 -6.16453000 -0.37805500 
39 1 0.0 -7.48735000 -9.96884000 -3.63361000 
40 2 0.0 -8.58420000 -6.29619000 1.22619000 
41 1 0.0 -7.75967000 -6.23793000 0.68625200 
42 2 0.0 -7.44234000 -7.64906000 3.29246000 
43 1 0.0 -7.92199000 -7.16869000 2.54519000 
44 1 0.0 -6.98043000 -8.43691000 2.86109000 
45 2 0.0 -5.96356000 -9.53807000 2.02166000 
46 1 0.0 -5.08947000 -9.12337000 1.95528000 
47 1 0.0 -6.31063000 -9.55153000 1.10285000 
48 1 0.0 -0.43419400 -8.26264000 0.94170700 
49 1 0.0 -4.82843000 -5.23437000 2.32749000 
50 2 0.0 -1.53964000 -6.73784000 1.12826000 
51 1 0.0 -1.58404000 -5.83111000 1.57047000 
52 1 0.0 -2.20875000 -7.32503000 1.61298000 
53 2 0.0 -3.14395000 -8.34475000 2.57894000 
54 1 0.0 -3.74522000 -7.68759000 2.98531000 
